poorSignalLevel,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
,75,1,0,0,0,1,0,0,0,0
,23760,1304,1062,68,189,306,541,134,0,0
,463196,107168,45357,70584,6476,21208,15940,4267,0,0
,49540,30144,21330,9634,8816,11016,13901,14123,0,0
,80227,9012,11822,11063,4980,8462,11450,21727,0,0
,13851,14702,2993,6105,6761,11876,10309,6521,0,0
,3483,3616,8985,5282,2464,8245,6745,14806,51,51
,5751,20461,6217,2359,4386,9816,6899,8944,56,44
,5836,7222,761,3706,5127,11557,5504,7739,80,30
,2321,2908,6278,3413,4265,5509,5872,16266,87,41
,361910,38971,6201,9830,3882,6432,3583,12070,56,23
,15210,52180,48237,6736,7821,6783,5959,7676,35,40
,8866,43140,117900,11489,22540,4687,3560,7169,1,75
,32551,48418,173332,3160,10478,12795,3916,10495,1,88
,12874,90211,66056,9580,5967,8484,3358,9584,1,100
,52267,27508,91974,14318,7095,14750,1930,12332,1,100
,4003,79801,64413,26396,9874,15126,2021,9671,10,100
,4719,6160,123308,5301,8558,12886,2769,9587,14,100
,127340,17766,80117,7976,11113,8523,2201,12438,21,100
,5376,37278,9531,7642,7280,23579,5807,15905,38,77
,52319,37551,43469,34112,13698,12655,2298,12091,40,74
,38903,25000,56750,5099,9074,10501,4788,12870,44,60
,34697,49855,139465,15857,28609,4470,2154,11791,30,57
,19385,20121,256359,9393,6974,7777,4349,17034,1,91
,36046,36175,58783,23492,7901,5479,4016,7618,1,93
,6467,50638,78090,9683,2684,9336,2742,11809,1,87
,27060,68154,140731,23023,6221,10071,1543,6042,1,83
,3749,36969,57393,5327,18755,8978,3376,23940,7,63
,5181,18831,8831,31565,3627,4540,2610,11380,11,61
,6038,16915,30293,16741,8688,9910,1646,10463,21,61
,5198,50345,105351,10142,6988,13454,3395,2430,27,60
,3337,7932,114052,13373,3671,8804,3210,11317,24,78
,748629,79317,6903,13111,13141,34660,15034,34820,41,56
,12165,10499,7107,11271,3049,8278,8612,7051,50,51
,105389,30963,18314,6855,7200,3762,4343,8224,48,41
,5200,15579,4267,6732,10095,15244,7831,11164,70,10
,9280,11347,5534,9754,5966,12242,6018,8720,75,21
,12945,8223,10442,5246,8759,12549,3376,9228,81,16
,379265,169151,14883,35192,10014,9060,5532,9835,75,10
,30155,33673,78449,5575,2864,16745,1692,12500,60,26
,4406,16831,44543,13990,14782,10738,3321,14457,48,37
,9672,36289,84695,5557,13521,11563,2454,24310,27,48
,17755,27612,66975,5626,8758,19148,1773,22097,44,63
,3045,25136,69093,10278,11849,18436,3377,11237,47,63
,21910,18872,22576,1209,8424,10978,2562,22467,53,53
,5516,16529,82689,10505,12395,6820,4271,16651,50,57
,3906,26228,20808,12977,15037,21832,6568,7931,56,50
,12166,48136,67586,10831,4607,5166,2996,10168,40,50
,4488,13497,67152,1541,8748,4724,1962,6479,23,63
,9080,89587,172574,13909,34694,5516,3031,13255,13,57
,16121,82634,105392,11077,6422,16846,2178,16306,1,66
,16006,130505,21909,17779,14068,5406,1396,17841,1,50
,16337,108469,67879,11428,5678,18604,1932,21437,4,34
,20008,23614,31356,3425,13111,9560,5611,12495,27,27
,21610,13374,65999,3318,4747,10417,1671,15041,30,35
,22692,57248,66079,1881,4249,4235,2545,6066,30,50
,11237,15615,6857,8983,9813,9742,1288,14542,43,48
,5095,7073,42898,3856,11948,17593,1348,5127,50,53
,78013,104166,62408,17822,13093,48476,2750,12196,57,37
,12507,13466,77733,13190,12697,16361,2599,10645,74,43
,41076,47806,44445,51294,12136,8777,3966,12467,57,53
,8264,33515,61904,14322,7806,12878,3412,15232,47,54
,20729,25462,31253,17551,10767,16520,3715,14649,47,61
,8697,62640,36079,11615,13639,17743,1958,14793,47,47
,13281,95184,135230,9337,20505,9294,5104,6377,41,44
,1625,25180,52758,8972,21472,10518,2695,24403,41,43
,10051,107209,28493,10244,14263,27118,3245,14931,40,29
,18993,25477,58390,17545,7251,13439,2067,9592,38,43
,33260,27797,122332,14349,15467,8555,2504,15637,41,51
,12417,96084,48524,4787,5044,12063,3788,8244,37,43
,152964,65070,61526,10600,12850,10820,5335,5996,26,54
,431511,16845,3543,4421,3169,3996,2352,8356,27,40
,109785,171682,16522,27887,11474,11453,29355,19387,27,14
